tool,nthreads,size,repetitions,usec
OpenMP,1,2000000,1000,5598310
OpenMP,1,2000000,1000,5551269
OpenMP,1,2000000,1000,5565366
OpenMP,1,2000000,1000,5597061
OpenMP,2,1000000,1000,2919851
OpenMP,2,1000000,1000,2991078
OpenMP,2,1000000,1000,2921742
OpenMP,2,1000000,1000,2937235
OpenMP,2,1000000,1000,2928545
OpenMP,2,1000000,1000,2976818
OpenMP,2,1000000,1000,2957845
OpenMP,2,1000000,1000,2949035
OpenMP,2,1000000,1000,2980125
OpenMP,2,1000000,1000,2921374
OpenMP,4,500000,1000,1918595
OpenMP,4,500000,1000,1838963
OpenMP,4,500000,1000,1832474
OpenMP,4,500000,1000,1839397
OpenMP,4,500000,1000,1856328
OpenMP,4,500000,1000,1824253
OpenMP,4,500000,1000,1833133
OpenMP,4,500000,1000,1865990
OpenMP,4,500000,1000,1836070
OpenMP,4,500000,1000,1838838
